event,country
TEDxNewYork,USA
TED@BCG Berlin,Germany
TEDxArendal,Norway
TEDxBinghamtonUniversity,USA
TEDxNorrkoping,Sweden
TEDYouth 2014,USA
TED@State Street London,England
TEDxPlaceDesNations,Switzerland
TEDxLinnaeusUniversity,Sweden
TEDxSBU,USA
TED2015,Canada
TEDxMuncyStatePrison,USA
TEDxSouthBank,Australia
TEDWomen 2015,USA
TEDSalon NY2015,USA
TEDGlobalLondon,England
TEDxIndianapolis,USA
TED@BCG London,England
TEDxChapmanU,USA
TEDxGoldenGatePark 2012,USA
TEDxUF,USA
TEDxBend,USA
TEDxPenn,England
TEDGlobal>London,England
TEDxProvidence,USA
TED Fellows Retreat 2015,USA
TED Fellows 2015,USA
Mission Blue II,Papua New Guinea
TED@UPS,USA
TEDYouth 2015,USA
TEDxGroningen,Netherlands
TEDGlobal>Geneva,Switzerland
TEDxYouth@Sydney,Australia
TEDxAmoskeagMillyard,USA
TEDMED 2015,Canada
TEDxUM,Poland
TEDxCreativeCoast,USA
TED2016,Canada
TED Talks Live,Canada
Global Witness,England
TEDActive 2015,Canada
TEDxGatewayWomen,India
TEDxEastEnd,USA
TED@BCG Paris,France
TEDSummit,Scotland
TEDxDesMoines,USA
TEDxColoradoSprings,USA
TEDxUniversityofNevada,USA
TEDNYC,USA
TEDxIndianaUniversity,USA
TEDxMontreal,Canada
TEDWomen 2016,Canada
TED Residency,USA
TEDxMtHood,USA
TEDxToronto,Canada
TEDxGhent,Belgium
TEDxSaltLakeCity,USA
TEDxOmaha,USA
TEDxSFU,Canada
TEDxPortland,USA
TEDMED 2016,Canada
TEDxManchester,England
TEDxMileHigh,USA
TED Dialogues,USA
TEDxNatick,USA
TEDxFrankfurt,Germany
TED-Ed Weekend,USA
TEDxColumbusWomen,USA
TEDxEuston,Africa
TEDLagos Ideas Search,Ghana
TEDxVirginiaTech,USA
TEDxSanQuentin,USA
TEDxSkoll,England
TED2017,USA
TEDxFulbrightDublin,Ireland
TEDNairobi Ideas Search,Kenya
TEDxOrcasIsland,USA
TEDxZurich,Switzerland
TEDxPennsylvaniaAvenue,USA
TEDxCrenshaw,Canada
TEDxHamburg,Germany
TEDxVermilionStreet,USA
TEDGlobal 2017,Canada
TEDxCharlottesville,USA
TEDGlobal>NYC,USA
TEDxLivoniaCCLibrary,Livonia
TEDxMileHighWomen,USA
TED@BCG Milan,Italy
TEDxYouth@Bath,England
TEDWomen 2017,Canada
TEDxGalway,Ireland
TED Salon Brightline Initiative,USA
TEDxPasadena,USA
TEDxSnoIsleLibraries,USA
TEDxStormontWomen,England
TED@Tommy,Netherlands
TEDxLeuven,Belgium
